rung  WNS      delta   worst startpoint -> endpoint
  97   -1.389  +0.000   LsEuPlugin_logic_alignedMem_2_vaddr_reg[0]/C -> IssueQueuePlugin_logic_sbInt_busy_reg[34]/D
  98   -1.388  +0.001   RobPlugin_logic_faultedStore_55_reg/C -> DcachePlugin_logic_s0Payload_lineData_reg[103]/CE
  99   -1.387  +0.001   DcachePlugin_logic_refillReqIsStore_reg/C -> IssueQueuePlugin_logic_sbInt_busy_reg[34]/D
 100   -1.383  +0.004   DcachePlugin_logic_loadMissStoreBarrier_reg/C -> IssueQueuePlugin_logic_sbInt_busy_reg[34]/D
 101   -1.383  +0.000   FetchAlignPlugin_logic_predictTargetReg_reg[12]/C -> IcachePlugin_logic_s1PredEntries_3_reg[18]/CE
 102   -1.379  +0.004   FetchAlignPlugin_logic_ftqMem_reg_0_31_0_13/RAME/CLK -> FetchAlignPlugin_logic_p0LiveReg_lenWords_reg[2]/D
 103   -1.379  +0.000   DcachePlugin_logic_valids_1_67_reg/C -> IssueQueuePlugin_logic_sbInt_busy_reg[34]/D
 104   -1.379  +0.000   DcachePlugin_logic_valids_1_73_reg/C -> IssueQueuePlugin_logic_sbInt_busy_reg[34]/D
 105   -1.377  +0.002   FetchAlignPlugin_logic_ftqMem_reg_0_31_14_27/RAMA_D1/CLK -> FetchAlignPlugin_logic_p0LiveReg_lenWords_reg[2]/D
 106   -1.376  +0.001   FetchAlignPlugin_logic_ftqMem_reg_0_31_14_27/RAMC/CLK -> FetchAlignPlugin_logic_p0LiveReg_lenWords_reg[2]/D
 107   -1.375  +0.001   RobPlugin_logic_faultedStore_56_reg/C -> DcachePlugin_logic_s0Payload_lineData_reg[103]/CE
 108   -1.374  +0.001   IssueQueuePlugin_logic_lines_0_ways_1_sel_reg/C -> IssueQueuePlugin_logic_sbInt_busy_reg[42]/D
 109   -1.374  +0.000   DcachePlugin_logic_valids_3_66_reg/C -> IssueQueuePlugin_logic_sbInt_busy_reg[34]/D
 110   -1.372  +0.002   RobPlugin_logic_faultedStore_42_reg/C -> DcachePlugin_logic_s0Payload_lineData_reg[103]/CE
 111   -1.371  +0.001   FetchAlignPlugin_logic_ftqMem_reg_0_31_14_27/RAMA/CLK -> FetchAlignPlugin_logic_p0LiveReg_lenWords_reg[2]/D
 112   -1.370  +0.001   DcachePlugin_logic_valids_1_66_reg/C -> IssueQueuePlugin_logic_sbInt_busy_reg[34]/D
 113   -1.367  +0.003   IssueQueuePlugin_logic_lines_2_ways_0_sel_reg/C -> IssueQueuePlugin_logic_sbInt_busy_reg[14]/D
 114   -1.367  +0.000   DcachePlugin_logic_valids_2_95_reg/C -> IssueQueuePlugin_logic_sbInt_busy_reg[34]/D
 115   -1.366  +0.001   DcachePlugin_logic_valids_3_79_reg/C -> IssueQueuePlugin_logic_sbInt_busy_reg[34]/D
 116   -1.362  +0.004   DcachePlugin_logic_valids_1_11_reg/C -> IssueQueuePlugin_logic_sbInt_busy_reg[34]/D
 117   -1.361  +0.001   IssueQueuePlugin_logic_lines_1_ways_1_cplxWait_reg/C -> IssueQueuePlugin_logic_sbInt_busy_reg[14]/D
 118   -1.358  +0.003   FetchAlignPlugin_logic_ftqMem_reg_0_31_0_13/RAMF/CLK -> FetchAlignPlugin_logic_p0LiveReg_lenWords_reg[2]/D
 119   -1.357  +0.001   FetchAlignPlugin_logic_ftqMem_reg_0_31_0_13/RAMG/CLK -> FetchAlignPlugin_logic_p0LiveReg_lenWords_reg[2]/D
